Maxim
Kolesnikov
ab7d5c1fc9dfce203159bb33f0176cee
[13.4.2020 | 16:45:2] {"type":"cmd","data":"run"}
,[13.4.2020 | 16:45:2] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6144,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:2] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6144,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:2] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6144,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:2] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6144,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:2] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6144,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:2] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2560,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:2] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2560,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:2] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2560,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:2] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2560,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:3] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2560,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:3] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:3] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:3] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:3] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:3] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:3] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":320,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:3] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":320,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:3] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":320,"gpioe":0,"modeltime":0,"type":"gpio"}
,[13.4.2020 | 16:45:4] {"client-id":"05e7eae0-d6f2-437d-ae55-c25fdee7ac6a","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":320,"gpioe":0,"modeltime":0,"type":"gpio"}
